0,1
0.99219,1.1414
1.9844,1.838
2.9766,64.2
3.9688,2.5185
4.9609,63.587
5.9531,2.8671
6.9453,1.5115
7.9375,1.0587
8.9297,0.82784
9.9219,0.68613
10.914,0.58952
11.906,0.51903
12.898,0.46512
13.891,0.42241
14.883,0.38768
15.875,0.35884
16.867,0.33447
17.859,0.3136
18.852,0.29552
19.844,0.2797
20.836,0.26575
21.828,0.25334
22.82,0.24225
23.812,0.23228
24.805,0.22327
25.797,0.2151
26.789,0.20766
27.781,0.20085
28.773,0.19462
29.766,0.18889
30.758,0.18362
31.75,0.17875
32.742,0.17425
33.734,0.17008
34.727,0.16621
35.719,0.16262
36.711,0.15929
37.703,0.15619
38.695,0.15331
39.688,0.15062
40.68,0.14812
41.672,0.1458
42.664,0.14364
43.656,0.14163
44.648,0.13976
45.641,0.13803
46.633,0.13643
47.625,0.13494
48.617,0.13357
49.609,0.13232
50.602,0.13116
51.594,0.13011
52.586,0.12915
53.578,0.12829
54.57,0.12752
55.562,0.12684
56.555,0.12624
57.547,0.12573
58.539,0.12529
59.531,0.12494
60.523,0.12467
61.516,0.12447
62.508,0.12436
